L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class 
522,3561,2336,1071,382,406,2557,2533,335,2516,965,1814,65,11833,349,14,benign
338565,16980627,10318423,61524,17585,52588,15909076,18254907,163626,990985,41196,150735,1219,66313306,32229,707,benign
4261,41123,27170,5245,1041,2000,30012,27909,2386,12989,5412,9076,54,159681,1252,136,benign
73885,1346939,818452,87218,1635,37012,172370,1128860,6157,27042,1964,15683,8381,831735,1471,191,benign
175567,32057839,9483941,13767,5157,23410,3667721,6419630,58305,758334,56794,204461,496,35473879,38771,2582,benign
712498,10826407,5556264,280448,29733,281379,7457894,8402228,367803,929104,47875,621260,15249,35525284,31598,2442,benign
4517,1597452,25899,5209,346,3544,6769277,39206,62474,984503,62013,149717,255,55190617,39588,21555,benign
659262,11292631,5995467,98618,34495,105861,10019841,7368261,129636,993538,73692,414260,4580,42969544,65068,4893,benign
509,7551,3789,761,270,474,7012,7042,394,1596,7,2122,65,21371,6,0,benign
534,10304,3797,634,277,676,7015,11337,254,1124,2,1457,97,43141,2,0,benign
1800,7528,9051,971,307,452,7022,7017,420,1874,29,2539,85,33617,21,1,benign
594516,19396089,11953892,101868,20439,53386,4756671,6617435,42270,800106,39971,171103,421,28561085,23544,3620,benign
475,17514,3794,462,70,864,794494,13739,18948,115387,13918,51080,129,21295,6546,280,benign
488,7531,3816,680,269,362,4849,4938,322,2361,1,1636,87,20969,0,12,benign
2234,14217,13025,818,6,499,7024,9962,437,1728,21,2457,89,33613,7,3,benign
9949,79408,45991,15304,5351,7703,62618,57630,2463,14184,5912,8754,1446,344667,1395,214,benign
1083,18831,11810,1335,206,854,32452,12492,933,5305,90,5654,45,177001,40,44,benign
447415,9805413,4557277,274701,5763,197810,50395,8493104,3117,29067,15856,19704,1610,250784,6064,287,benign
5217,69627,43704,11079,2549,3661,30798,45852,1193,7363,970,8129,71,161029,522,138,benign
331082,15163177,8931561,33474,592,195881,15805086,16346394,182115,897894,664,219829,13315,64918448,592,20,benign
2940,27663,18609,1486,276,1310,18226,16274,837,4488,643,5195,85,96235,567,74,benign
2953,27833,18601,1931,888,1367,15826,16419,460,3461,342,3721,103,89761,306,61,benign
428384,10650773,5280025,302438,9267,151398,9855863,8819356,139344,981411,18264,279798,7002,41191650,9552,1435,benign
460858,863416,5038168,125070,13756,69026,9215796,10974351,85557,962755,14014,118919,2348,5096368,12101,1381,benign
520,7586,3788,785,271,422,7021,7077,398,1660,6,2294,64,21287,4,0,benign
537607,8682280,8156566,40497,34610,105816,59987,13162124,2171,12554,4782,6798,2979,331509,1455,240,benign
532,3574,2339,1121,337,359,2522,2538,318,2854,1641,1719,75,11756,356,19,benign
331,2099,1361,440,120,207,4959150,1341,86373,697125,112512,169484,24,23539922,75993,10008,benign
656373,9572311,5565686,178622,4513,151796,5291097,5235153,62777,795644,14426,390488,4447,40848451,6001,4646,benign
855112,15426856,7153692,159345,2478,129561,6024990,11225888,106221,866823,5160,398544,13899,33508988,3601,1022,benign
656074,10536032,5169440,323566,17874,270586,8741418,7912961,403954,954781,13801,621745,14485,41007818,9815,593,benign
2000,14255,13048,728,2,230,11903,10114,625,2915,1,2976,36,58433,0,2,benign
432710,7918213,3263137,250189,3216,190046,7648845,7801676,99212,939276,3986,449817,9901,30961665,3051,452,benign
2955,27467,18956,2094,926,1406,16402,16330,570,3796,425,4100,84,88013,315,61,benign
510,3570,2342,1122,352,365,2533,2548,327,2861,1413,1704,68,11815,334,20,benign
291208,12209777,7224625,91554,3016,133645,11667241,10768248,48082,912901,6727,176620,2281,51178606,5083,444,benign
89765,5915733,957567,45545,3532,17157,10357804,4944235,64429,908283,10588,169626,492,27644609,6460,1706,benign
457,5950,3798,845,0,336,7008,4851,392,1242,2,2273,61,33552,1,0,benign
459767,9802647,6205997,313784,1357,116978,8100187,8129467,81522,826227,7533,349534,15296,36073494,7407,48,benign
178723,9898652,3590333,208028,2539,63084,7764090,8612906,99744,910495,10384,293277,3434,32071070,6539,571,benign
236345,11834955,3200141,203104,6820,50721,6063246,5997081,33971,998145,859,48964,4571,56889757,635,216,benign
186556,17585097,9742157,41232,600,93074,18153248,17340600,148717,943637,651,115013,2574,76312197,603,16,benign
208316,8504042,3466390,220381,4767,103916,7764100,8093074,91547,945719,3287,437332,3320,32502533,2847,390,benign
371598,1611465,593440,9470,10176,31613,38212,1035874,1172,6310,440,5928,118,201402,346,65,benign
70463,2859502,1534018,144561,2335,30093,246064,2492126,5435,26964,313,19577,2013,578454,206,92,benign
500,3570,2344,1148,336,362,2553,2542,265,2194,922,1568,78,11920,314,18,benign
460,7539,3803,558,1,383,7470,7031,403,1704,11,2325,68,21144,9,0,benign
1724,5950,9051,664,9,328,6230,4857,154,1346,3,1657,99,21147,2,2,benign
409051,9460044,3490984,110799,45907,97652,5815872,12915446,349584,862433,16052,278790,5760,44289059,6364,5255,benign
1051245,6554290,5936461,159359,99,71773,4497600,5194892,20764,511874,11724,126375,17092,48030291,6860,792,benign
316812,7625931,3340177,283629,439,159870,7468679,7357285,128037,921320,2239,466420,10942,30836362,1260,548,benign
101696,8096859,4058103,25454,3090,9719,2223634,7218131,35597,148441,3025,17813,583,9958583,1276,804,benign
197977,8009028,3912809,190366,2481,90897,4070,6789423,388,982,115,1432,5476,542721,55,3,benign
173457,2734607,1809639,60279,17319,56005,16312,2405629,637,4828,2340,3445,3099,86816,403,69,benign
123956,12866329,6761363,31878,614,23068,13194987,12118786,31661,951564,633,40725,526,55236926,625,2,benign
374239,9429644,3468782,221286,5559,125346,8842183,9304317,112693,874477,7574,326395,3542,28745640,6261,492,benign
1544,20197,12013,2022,28,1181,16973,13967,509,4152,296,4107,31,90129,112,37,benign
500411,9584909,4447511,146511,15999,67069,2371429,9652385,27719,197599,17344,73275,1626,10560464,11481,637,benign
173603,15401850,4829386,72332,12090,34910,9404155,11316788,80308,893896,14965,198627,2246,54405805,10881,259,benign
1789,17920,9048,1078,309,454,15084,7010,1084,2979,1439,5705,86,67762,522,0,benign
221120,6436726,3220895,133192,12531,63237,13021687,5609836,148791,1012728,31651,216920,2292,56551592,22105,1148,benign
481642,9421043,6027547,316096,1191,109790,8321978,7651198,63215,802353,1879,303557,15747,37694046,1804,9,benign
2044,5991,10334,1085,38,329,13376,4925,723,3041,39,4114,85,58302,9,0,benign
335403,16330615,9009785,25185,645,200688,16360372,16550407,170899,925438,684,240876,1206,68844066,633,23,benign
455520,10287355,6471919,303388,1144,109108,7986663,8617460,64317,823090,1721,355911,12253,35966409,1667,20,benign
45664,1009800,522339,55795,6054,25213,272783,820027,10081,60916,13860,40902,1869,1250211,3754,1232,benign
460,9793,3443,674,225,324,6126,11154,319,2742,559,2469,106,30070,42,0,benign
534,5975,3786,767,266,371,4884,4912,250,1619,1,1399,71,21059,1,0,benign
1777,7538,9048,922,66,438,12246,7018,513,2940,16,2501,85,57493,4,1,benign
127819,14453441,7614449,43366,587,37944,12127897,13454345,36063,907812,869,78768,929,50899986,708,86,benign
352783,9254687,4456902,168534,4276,66750,9106395,9156941,98342,960984,16103,152865,4150,38855138,10168,927,benign
308702,8006023,3514524,282581,393,155255,7032921,7630663,123487,884137,2347,475031,6142,28814873,1531,478,benign
1105558,8281783,3801812,107861,66063,212656,5001502,6603585,108604,623627,38626,301734,3889,20856103,21616,1222,benign
503,15525,3805,599,278,658,4845,13097,401,2138,587,2662,72,32130,52,517,benign
3503,88214,30653,4177,1231,2224,59728,63386,2125,12946,5580,6634,325,330308,1306,197,benign
1766,7528,9048,802,60,411,4884,7007,341,1608,11,1699,86,21151,3,0,benign
727077,12203171,6764972,232425,30995,278817,8955549,9236026,361173,954682,38709,554681,10793,43570271,28490,2578,benign
499,3566,2339,924,338,359,71411,2538,4319,28906,13094,19717,75,313455,2883,241,benign
139276,5846719,2880897,138591,2719,62330,109873,4916201,2738,13573,206,11090,3750,584513,121,60,benign
510,3561,2336,1128,352,366,2533,2535,338,2986,1664,1738,67,11816,360,20,benign
223147,9876774,3555130,74114,6446,50364,5861379,8862789,19547,947562,119943,394872,1325,24593441,96404,6019,benign
349363,1377961,468495,12399,487,46753,1484812,1360606,39570,309530,58550,189833,556,7433026,39205,4715,benign
15923,57691,175787,11733,1292,4008,741659,416672,11216,102470,1363,82970,622,2902863,833,22,benign
419870,8524103,3734547,261301,1862,132757,8346823,8495851,101721,939175,4701,349282,8272,33293704,3181,607,benign
447606,9642423,4685518,178964,19997,117544,8291335,8688995,153911,944324,38477,281014,5521,34680803,22987,1761,benign
296571,7935186,3541718,274598,640,145307,7638760,7605116,126503,939316,1893,430100,4930,31128429,1159,485,benign
507,3566,2339,1090,342,353,2541,2538,288,2592,1323,1545,68,11854,324,21,benign
1680,24109,17891,1693,163,758,15206,15556,687,5653,2875,3827,27,213965,539,121,benign
480007,10670228,4788468,259615,34,227421,82039,9203462,1629,13455,217,15236,2435,395480,116,42,benign
6456,88511,49716,13669,2811,4540,2495,71428,315,2914,1619,1670,771,11645,347,23,benign
496,15403,4220,752,189,561,12724,13868,537,2962,6,3480,159,516270,4,1,benign
188741,8515873,3088749,159947,22766,83963,6167376,5103038,54048,874422,72207,203439,6393,42770777,59063,9102,benign
282905,8042382,3537857,254433,2574,134620,8029435,7843476,103540,947798,14468,254433,4332,31731247,2480,1171,benign
1803,7547,9063,1063,316,461,4855,7031,271,1960,5,1397,86,20996,5,2,benign
492,7544,3788,586,24,407,4911,7026,540,2161,4,3059,63,20938,4,0,benign
344924,8627355,3879961,263273,956,141403,1385721,7174103,12575,96964,1237,57160,3347,5076095,998,107,benign
2035,22628,12529,2708,45,1566,176909,18015,4434,22675,336,18307,266,1147713,198,104,benign
1719,7552,9067,679,8,393,6775,7036,364,2226,16,4519,80,30916,12,0,benign
2779,27807,18605,1550,294,1314,16824,16392,564,3829,387,3951,90,87550,255,74,benign
472428,9673961,6178687,310288,1336,107738,7626573,7922264,59248,817546,1838,326427,13665,34675368,1795,2,benign
14706,147192,88133,14690,4754,7006,29558,104005,1678,11503,5146,10440,84,155029,1226,134,benign
1811,7558,9072,1051,314,476,4880,7047,341,1256,1,1655,80,21102,7,0,benign
291559,10703400,4306833,110597,4470,48929,10396164,9451394,90469,900954,7934,88175,1735,44960577,7032,116,benign
6457,18695,24924,5105,1039,2140,29419,15559,2444,19166,10990,13443,231,148218,3074,217,benign
196117,3860303,2431446,230841,112,60963,2151619,3185528,14409,278470,90,172451,4606,8890761,75,2,benign
23003,369265,233252,24434,322,11512,1845591,300346,10942,217203,196,109691,1464,7961069,976,3,benign
8517,98270,56307,2289,1607,4676,160660,69396,741,21134,3902,17835,30,815527,3425,433,benign
289190,7633417,3406293,267270,667,149600,2454036,7271873,51532,299306,19260,124586,7735,11029594,8668,1976,benign
68704,911496,478767,38203,6467,31353,2066502,574638,42866,287731,10739,101218,1346,8795302,6147,898,benign
74747,1456109,750653,66207,11927,34287,407350,1410165,9317,64052,9755,18920,1852,1572646,3021,278,benign
116549,14334893,7529002,30324,684,33977,13199943,13372477,32845,917056,582,34607,1674,55223687,579,3,benign
112419,1474305,860606,38729,8840,32893,966809,975065,35733,164715,16001,82228,1657,4803471,8350,769,benign
652744,8186354,4953794,230988,7933,160502,4084784,4260762,88440,741622,15163,476957,6246,32733380,9563,2610,benign
451522,9981043,6291499,301829,1174,103852,8408456,8358344,69208,810357,1646,334500,13794,37774274,1574,4,benign
451,5958,3777,569,4,325,4908,4882,346,1220,27,1652,62,21203,5,19,benign
2996,33675,20407,4819,972,2262,3041,33088,354,3619,2132,2199,409,13578,486,25,benign
477859,9645122,6165684,314799,1145,111843,8042752,7875715,65802,826888,7170,337487,14943,36101048,7070,1,benign
224618,6953769,3707581,100333,15289,65574,928952,6648227,18403,127711,4954,43159,5801,3888846,2149,179,benign
200123,3987241,2351556,233411,102,61175,3317801,3246432,72558,325803,8298,81053,3585,709687,2536,859,benign
3188,28334,18339,1476,317,1314,16395,16614,644,4042,332,4335,89,87075,288,43,benign
213926,11546514,4756153,136965,6753,79121,2294674,10473781,36106,260272,8992,87923,2990,10080055,4036,220,benign
307573,7789269,3398333,295025,1597,163027,7214226,7385539,141293,985346,1013,523940,4490,29533949,583,218,benign
195982,3829305,2538929,236275,93,61496,2969250,3123262,57862,75152,6412,74682,3858,3313151,2312,748,benign
288899,6552431,2966684,172582,35918,112552,5927116,6197068,94346,919325,55785,258512,9035,24429766,38838,1147,benign
8742,148681,87734,12782,59,6091,2865851,118737,90097,237635,10704,135252,765,13037823,8873,738,benign
2346,14621,13325,1562,192,600,1345444,10859,4764,132898,7023,21968,94,5739331,9,26,benign
2340,14451,13166,1572,161,562,7015,10039,449,2221,622,3061,85,33587,66,541,benign
350900,11595773,5477478,251523,19406,175774,271258,10187579,6817,42708,1396,31014,5670,1168556,943,52,benign
1981,5991,9547,1307,354,461,4845,5408,330,2178,620,1807,124,26109,256,11,benign
491262,14711967,8291652,25604,542,321279,15504410,15322287,191659,947515,730,341546,1271,64612769,598,13,benign
508,3554,2333,1145,346,362,2528,2522,320,2966,1483,1724,72,11793,369,29,benign
80559,4852513,2415675,77904,13680,38070,328217,4512518,7044,33542,3950,14641,3395,1602132,929,87,benign
482,5974,3810,735,257,357,7042,4910,411,1652,5,2285,66,33807,1,4,benign
1962,77613,12997,1980,1236,1516,957167,107419,21528,139153,18856,80957,206,4115202,8884,323,benign
16434,102883,51139,5920,1196,6955,70654,78903,1749,13670,954,16883,203,343570,775,113,benign
2883,27728,18719,2967,844,1355,16233,16291,567,6437,2720,4288,89,86305,861,93,benign
270501,7863079,4247060,320303,22345,115540,2621063,6068494,91844,399988,37158,228188,8858,12733632,17798,1114,benign
422667,8587793,3737323,256554,895,125688,8547181,8557048,95129,943610,2611,327137,4158,34070323,1989,491,benign
4243,30857,17591,4545,402,3446,15495,26254,2302,2107,510,3311,430,81747,318,78,benign
2980,27474,18495,2152,272,1335,3617,16133,384,2815,511,2237,84,115337,1141,19,benign
3038,26891,18129,2277,873,1378,16527,15882,568,3654,374,3942,93,89838,305,67,benign
495,5948,3807,803,268,368,7033,4874,482,1760,3,2618,74,33785,2,1,benign
357916,8711123,4445655,143417,8447,68847,8424378,8793363,109410,945351,4659,222145,2793,35531491,2781,243,benign
784300,14577349,8674200,68735,6510,501693,19426919,16906477,39421,924788,216,621351,2110,84925503,210,1,benign
2811,28096,18470,2131,770,1309,16630,16137,595,5019,332,4223,103,86767,272,55,benign
2958,17654,15271,2629,989,1293,15225,15225,1010,1866,2439,6079,225,68256,846,572,benign
704672,5085617,2127635,49234,34244,125235,2419925,4081180,43395,326542,35567,153863,1988,11461393,29276,1889,benign
124550,12410660,6529313,40498,676,35149,12170405,11691623,37939,931770,875,46092,2279,51107380,683,143,benign
2983,28086,18866,2480,853,1386,16385,16483,655,3961,420,4449,93,88150,303,60,benign
2383,14493,13183,1593,162,559,9530,10046,204,1973,2,2569,84,44731,196,0,benign
3076,27495,18476,2422,868,1347,15824,16208,542,3565,353,3997,93,84307,261,65,benign
6225,51766,29994,8895,2236,4831,61116,37493,2318,14115,6123,7649,911,330829,1375,214,benign
507218,8568666,4595895,193277,15986,124308,5143310,5363643,122254,785351,22459,355749,7447,46664515,18082,1273,benign
2043,15360,13942,1022,8,445,7022,13123,378,1678,11,2126,114,33600,10,0,benign
374796,13131890,7863275,183123,24481,119505,6482904,6022381,82737,888721,66176,166028,8553,68172352,42891,20346,benign
3008,85666,29215,4348,1252,1873,59262,61164,1971,10126,2803,4057,316,334342,678,200,benign
13243,166306,76031,19708,6811,9722,792345,119599,22809,143284,26460,98533,1846,4128412,9057,2575,benign
489614,12726053,5881585,545431,6556,119070,9972525,9467111,167424,972138,13637,460984,5818,49466057,6147,2129,benign
4752,39867,18646,1465,209,2088,19012,30281,785,4756,1039,4749,85,96645,973,26,benign
197098,3763895,2361391,221434,73,50178,3094927,3061487,22806,390308,101,231356,4379,13303544,87,0,benign
110773,9802855,7588645,24918,557,24563,2934209,13472567,30469,406555,1205,51476,189,12769977,536,525,benign
1792,7531,9048,1061,302,447,7018,7016,382,1616,9,2301,85,33605,7,1,benign
306574,10241980,5071497,252792,23621,98022,16511360,9507238,173424,953703,39624,163168,6507,63362833,18012,1387,benign
445281,10454800,6526018,293181,1295,98521,8720836,8889831,64931,830438,1604,306105,12447,39004641,1576,11,benign
397413,7393634,3082843,262639,11995,194028,7281270,7051567,121041,910669,21297,444282,9344,29546009,11873,894,benign
278097,16557733,9755422,34476,1331,151193,16823011,16604857,156410,903738,685,136954,1908,68547710,622,26,benign
18313,332004,196475,3641,894,6899,7807953,220432,93465,1010385,29039,267460,87,53877867,22691,1909,benign
6174,99346,54466,5130,324,3974,5183203,83100,101852,523567,33549,194340,330,22776515,14337,4348,benign
7123,2274437,1432995,134348,173,40831,1034,1852930,118,4405,485,891,4105,5365,728,6,benign
5526,154874,35788,7481,2841,3746,3211527,182404,32255,371266,15936,64931,255,18258451,7154,2882,benign
8205,2531260,1575364,10534,4031,6287,59823,2135761,2165,13670,5791,6714,1040,331140,1366,203,benign
201607,4027498,2339389,231044,142,64312,4402588,3287756,42858,2864,1164,198767,4558,28726,720,241,benign
539,3561,2336,1132,372,385,2545,2533,332,2957,1441,1758,67,11894,348,21,benign
301483,8390078,3684106,277402,2974,141732,7817136,7805525,111375,929829,4899,433860,4356,32343082,3685,561,benign
71036,2719740,801998,3171,6035,10235,21689,457846,1391,10756,2599,9109,675,98789,2013,58,benign
46346,1966518,935756,43548,598,20341,507738,1647632,8989,56084,787,37734,1075,1095825,495,217,benign
530,3571,2348,1074,350,393,72143,2535,4395,29076,13293,19844,73,317617,2905,234,benign
436509,3322769,8196020,452794,9351,192391,4858,13913320,290,1166,5,1235,7998,55088,5,0,benign
1070,9431,5672,1350,338,633,8873,7219,553,2117,6,3038,85,43357,2,4,benign
420803,8521110,3720235,256219,1053,136855,8233078,9596715,87491,898273,2428,307090,3799,32822237,1721,502,benign
18555,17466255,659925,9932,2172,8211,9666505,6101242,45190,986558,5112,22168,209,131648636,2664,433,benign
312468,8054166,3657837,268776,709,145971,7377927,7729468,129954,924453,1098,455295,4395,30113211,640,280,benign
20526,319894,144625,2761,5333,12136,34748,208901,676,6328,826,5632,21,181796,732,63,benign
3139,26845,18528,2293,831,1317,20834,15816,1065,9208,3711,4416,99,87397,1363,120,benign
2983,28074,19263,1489,299,1349,16395,16558,545,3622,318,4100,88,87846,257,53,benign
472426,11671985,5181716,287420,545,212392,1377154,9743823,26915,114258,3668,61078,2450,5059989,2525,161,benign
225379,6612389,3066421,87051,70239,131327,6013601,6429241,193522,825427,51406,415832,5063,31136504,33044,4869,benign
123166,13530877,6199520,78587,23632,51493,1498570,13504362,17628,126233,16433,40168,2485,6748948,6293,267,benign
3762,27537,20957,1756,300,1878,16548,19050,647,4057,372,4692,89,87695,298,65,benign
426628,7905457,3261011,252238,2450,190300,13002659,7803323,130056,926150,29545,263023,5778,57236412,19033,816,benign
181786,10309878,5294642,51656,821,28028,7547183,9813334,66435,957851,2146,93401,743,32839586,1000,995,benign
3433,87604,30211,4007,1242,2227,20835,62975,2704,22364,11564,18542,307,99373,2984,134,benign
448,5940,3794,563,3,319,4881,4853,344,1705,36,1738,64,21111,9,0,benign
289677,12069338,7128188,85024,6959,148308,12050748,10635109,44424,983099,2405,205470,2357,52749018,1330,518,benign
1345316,2020007,1955400,72868,14098,23792,264847,5251850,2111,7613,565,10289,4853,113631,383,61,benign
320439,9185928,4150429,170507,7011,93081,8621314,8725571,110993,943089,14908,219487,5439,35676732,8924,875,benign
91953,979139,807883,84154,17815,48057,2684120,1442813,54615,327177,10861,123847,4196,5962954,6578,351,benign
21434,301788,182792,26531,1234,13547,196118,253558,7332,32760,1185,29499,1822,921446,118,834,benign
5860,30311,17922,8666,3065,4584,60132,20769,2517,13136,6525,8701,840,332243,1536,224,benign
155907,30298505,9749268,13893,5016,21378,4452679,4939575,8169,882119,29774,122380,562,53404174,20249,1969,benign
1890955,8233619,3789005,104506,54808,440576,7191999,6219390,151851,866713,83117,594024,4901,32781036,56598,4834,benign
1815,43170,24487,2251,850,1438,31142,30656,994,6273,753,5077,160,170246,273,24,benign
266870,7168175,3187576,192247,7562,72747,16637822,7046973,206145,1250809,63882,429392,2937,74750027,33693,2382,benign
64633,1920992,1005923,52654,4484,25428,94471,1804552,4558,14897,445,16329,1082,476578,290,94,benign
506,3566,2342,947,323,356,304647,2554,3559,24158,1207,6043,77,1240795,932,63,benign
465604,10546860,6637373,303761,1202,103022,8701219,8829739,57118,844038,2858,302157,12559,39086347,2815,23,benign
3153,28124,18278,1992,842,1284,15959,16588,563,5954,1791,4535,97,91716,779,95,benign
158737,2952081,1477393,161278,30306,87555,5399303,2757370,101244,612179,24703,260478,8150,21994507,11564,829,benign
5055,107623,29680,6450,2170,3574,963438,124499,27432,162060,21923,106515,296,4053036,10854,662,benign
444,5950,3783,573,6,323,4897,4878,145,962,35,1088,67,21157,10,23,benign
1416138,5996670,2012017,72313,10474,170827,4054933,4234308,71132,462271,18756,261251,5074,18736442,15040,717,benign
2816,27523,18500,2088,788,1332,961,16155,108,986,669,1420,87,1782,382,23,benign
2201,15736,14326,1103,9,484,4881,13947,337,1240,22,1670,131,21072,19,0,benign
3731,39500,24220,5551,1689,2758,14387,27082,774,4134,218,3521,195,74818,142,55,benign
2399,6010,10464,1211,553,886,7654,9209,491,1713,8,2713,147,36837,5,0,benign
1802,6019,9048,930,207,591,5688,7490,383,1323,5,2262,105,58577,2,0,benign
531509,12548904,5501918,77984,6847,86412,9786870,10590863,144005,884193,22539,180289,2075,46021683,11690,649,benign
77615,3156501,1702733,73586,6259,33034,81131,2567369,1851,11581,250,9348,1479,777868,130,86,benign
504521,4986388,1939817,57245,50419,132760,685474,3875913,15670,106902,18008,32529,1815,397870,11111,902,benign
2672,83852,28178,4025,1332,1590,59928,60192,2196,13216,5865,6707,309,331218,1354,206,benign
855,9508,6376,1856,562,738,4875,10397,326,2017,325,1908,140,21138,263,13,benign
2115,13875,12716,770,1,462,11898,9276,514,2532,19,3855,84,54817,7,14,benign
533,3583,2363,961,384,411,2522,2562,285,2510,1328,1654,66,11886,341,21,benign
216429,9788269,3451321,50641,5141,38440,9043178,8947741,6959,883635,236,61226,1248,33702114,228,871,benign
511,3554,48613,13310,3000,4444,2532,70522,323,2800,1628,1679,662,11806,332,19,benign
515,3575,2344,1113,386,407,50049,2541,316,2703,931,1539,65,11981,329,22,benign
1763,7680,9479,4378,288,418,465435,23343,20029,133060,22958,89017,101,1344720,3336,360,benign
431,5941,3789,820,3,314,7014,4849,399,1627,6,2172,65,33564,5,0,benign
125664,12606765,6630280,41390,699,34320,12799753,11869517,35823,927422,752,38277,1996,53678718,652,73,benign
8539,85191,57672,1690,901,2879,48004,47609,763,9245,1201,6549,81,268804,963,233,benign
3673,31922,20876,2973,894,1859,16176,19023,636,3747,350,4562,108,86927,271,58,benign
521,3566,2339,1113,342,361,2522,2538,322,2835,1460,1739,82,11762,340,19,benign
32138,1110170,744208,41858,9199,18637,2098446,1095643,28367,173179,14782,89860,1975,9467645,6798,244,benign
280252,12757386,7612146,60817,1008,141202,10770364,11289382,49738,946094,8717,226563,1302,46965642,5067,662,benign
175135,9360079,3351749,24063,1012,17495,9448979,9288047,76620,901753,4092,52169,348,37343854,2325,144,benign
13268,5130988,3833066,12524,4137,2351,100038,6021417,15491,57352,5973,28669,427,512277,2021,179,benign
1745,264614,9053,696,18,8144,13173,206210,267,1299,7,1486,98,33588,9,0,benign
286215,12561405,6276635,192389,19209,114190,8204238,12643263,174820,993672,4512,461330,5694,32776130,2551,529,benign
487,3568,2348,943,319,350,2533,2534,328,2907,1645,1693,69,11821,339,20,benign
2024,15090,13869,988,1,463,4895,13322,341,1631,0,1644,107,21136,1,2,benign
1116,5681,3515,1408,103,739,22801,3597,1883,11808,4415,13316,30,133209,786,730,benign
127815,13021144,6837302,31413,4486,25541,8809206,12237233,54192,918709,46126,260494,312,38226739,34884,3661,benign
6122,86268,48362,13033,2909,4375,271116,70180,3623,23693,1745,8951,672,1105762,1007,93,benign
9862,93564,55228,12219,3866,7503,61452,66952,2429,12975,5510,8606,1226,338735,1509,204,benign
141727,3261041,1825834,62173,8432,34978,11341725,3206675,204896,980445,30669,200956,3175,50767548,18015,1901,benign
34916,530808,278000,1988,11239,22125,12841,409869,680,4767,1231,5754,9,59104,340,33,benign
3087,27525,18501,1980,778,1338,16375,16165,595,4100,347,4549,146,87735,287,54,benign
6025,86762,48828,12730,2665,4292,70588,70643,4324,28515,13207,19722,703,309172,2868,216,benign
206852,4013435,2604561,237555,1725,55977,3340404,3277057,20898,427112,86,227328,3639,13175865,79,0,benign
157075,6709559,3610827,153610,12052,91406,2066902,5353466,30088,268473,18149,133423,6120,8072984,10559,356,benign
2310,3424351,1646957,7067,7443,10826,8970887,3435861,123504,961203,36934,397617,517,41106987,14783,2985,benign
264509,9974790,4649232,213153,3144,92084,9348128,9900018,137021,970337,8812,254829,4447,37848055,5456,421,benign
3051,27689,18651,2075,1255,1481,16261,16261,651,3869,357,4615,85,87473,302,53,benign
636662,7026353,3539734,146714,70614,224385,5046666,5026624,133079,828430,102095,434987,7289,25471127,76113,4864,benign
3066,27946,18738,2351,888,1413,16565,16415,586,3934,457,4199,92,89953,333,76,benign
332887,15750138,8899969,24600,1659,191204,16046632,15921293,193661,926921,634,203515,634,67214933,592,10,benign
2231,13880,13074,1591,465,973,11876,13257,399,3845,759,2542,174,58444,11,2,benign
4481,28462,13896,2644,2111,3629,1394272,26944,17996,256472,31,174249,214,8339818,20,0,benign
1764,5936,9045,839,68,302,4907,4851,338,1756,17,1741,87,519943,15,0,benign
8670,86248,58573,2313,1476,2891,48029,48304,682,9301,1268,6389,107,268853,949,312,benign
0,56655,40214,7107,1434,2215,15098,37274,309,2762,203,3280,156,120452,108,27,benign
1599,23754,17469,1226,86,739,35033,15372,1714,7647,346,11149,32,184552,197,54,benign
1887640,8059285,2769927,4426,34793,246604,7530364,5164694,207835,1002910,46388,388503,28,44293109,43309,2899,benign
505,3568,2348,1080,333,354,2552,2534,328,2900,1657,1707,79,11912,359,19,benign
492,7527,3788,629,20,397,12322,7008,524,3182,13,2723,61,33466,3,9,benign
717210,2865256,971962,23415,577,95658,1304346,2787553,26243,100827,990,55715,1031,4710454,794,49,benign
510,9619,3786,711,272,557,4887,8275,407,1624,14,2130,64,21163,12,0,benign
472914,9627094,4263232,123622,5831,91565,5794232,5879041,256678,844312,17264,300135,5879,41958454,6682,5426,benign
1187,176626,100127,13630,1115,5830,2339952,135972,60494,292889,6766,172718,718,13656810,2776,856,benign
423490,16256569,4661683,4497,20936,39204,4605,24051,360,1234,5,1346,989,35165,11,0,benign
332839,7954494,3885447,286081,598,163299,11228218,7584578,79871,977563,16329,115416,8003,59346415,12203,317,benign
113430,1833313,993943,64804,9503,43018,697017,1486561,21903,145918,34729,64918,2430,1088291,18367,1011,benign
427354,11063388,5067684,176740,9748,71628,8904124,10487735,62117,937315,5885,53043,3769,38763077,4897,314,benign
261729,11259839,5556927,114798,23174,70247,710798,11112272,11529,83527,2133,27352,5227,3132130,1915,52,benign
1842,45621,29244,1786,165,1259,31585,28695,907,4609,222,4031,42,169820,122,48,benign
1727,5938,9057,775,1,337,4857,4846,526,2077,6,2891,81,21128,4,0,benign
59069,5504945,953367,22105,147,12179,2252053,1885640,34280,324532,5287,257564,499,10088978,3940,1047,benign
1806,7532,9048,939,327,450,7009,7011,398,1641,28,2241,97,33560,2,11,benign
