L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class
308449,12249581,7260158,91295,2772,160012,10948701,10754102,37341,924032,1078,198025,2590,47513575,939,34,benign
303302,7850921,3560794,278449,1283,147795,6975377,7681719,118383,880462,2463,444284,4196,28178735,1652,310,benign
118918,2231622,1035089,70727,11839,45741,2739059,1965293,71061,457832,45491,237116,4882,13174986,20512,1716,benign
506049,10092770,6523821,313284,3799,114487,7744574,8417326,69659,819405,12459,367029,14867,34695051,12337,12,benign
648940,10014924,5672520,181318,4648,151672,5004487,5321899,59778,770592,31321,387849,4396,37982599,8517,9865,benign
2348,14493,13485,1470,257,643,4856,11264,288,1681,0,1523,92,20980,0,0,benign
296627,7582629,3430694,274544,1026,151827,8340240,7223980,43745,266230,7218,51019,9150,10134197,4194,372,benign
1814,7525,9045,1036,323,460,9829,7009,701,4321,736,5158,80,41965,90,12,benign
493,5964,3797,767,264,372,8847,4893,541,2063,5,3040,68,43073,112,0,benign
3136,27249,20362,1539,288,1781,15929,16066,645,3812,325,4615,90,89961,260,65,benign
452,5959,3793,568,0,326,4903,4886,346,1229,1,1684,64,21209,2,6,benign
2651,83912,28241,3887,1342,1588,61019,60225,2368,13239,5650,7468,315,337067,1365,231,benign
3811,52249,32666,2697,182,2741,291618,34043,7504,50948,4035,48457,55,1466462,3042,746,benign
337798,13154405,7176613,97720,10281,62186,12256394,12402469,165481,989302,13466,154363,1458,53856026,8969,909,benign
101706,7104826,3360493,68152,15115,42435,5731051,6986632,52853,347391,19469,88049,3396,26133831,9784,630,benign
175567,16502438,9659915,37830,865,91090,7812590,16201564,66037,829777,6161,347110,1581,36842767,6132,2,benign
2713,83457,27880,4022,1373,1615,60187,59891,2189,13251,5886,6802,312,332533,1407,217,benign
3188,47061,28851,2742,322,2226,14112,31427,237,1991,84,2042,135,77218,40,28,benign
186614,3937164,2479899,230456,74,55278,2242927,3273048,24088,4971,1310,104967,3780,78015,857,84,benign
8975,162747,60834,11475,3104,5679,59860,121521,2450,12424,4863,8750,796,330951,1275,206,benign
496,3572,2339,1074,356,371,2544,2542,329,2823,1647,1704,75,11884,335,19,benign
2682,83915,28197,3886,1239,1598,1657,60223,273,1058,76,2039,320,8343,21,2,benign
1798,7556,9067,938,67,454,4858,7048,318,3077,334,1886,81,20991,268,496,benign
8964,75926,44072,12835,3651,7085,8562,54861,836,5540,1851,4534,1351,40469,929,46,benign
204908,17473637,6178033,5101,1067,5866,9969304,9790360,290881,994162,25436,57318,87,99330641,1260,24157,benign
2968,27949,18694,3726,952,1388,15858,19502,409,3471,345,3501,100,90667,345,90,benign
130266,12273538,6440006,58349,609,38853,11823064,11553970,35381,883576,832,78286,2830,49591606,652,124,benign
1820,7653,9453,857,293,450,25152,7214,1929,8806,1499,11482,99,123517,294,35,benign
14518,446974,250783,5868,1602,4264,470229,443222,7216,61829,6958,20280,354,1867218,2612,483,benign
487,5982,3801,801,264,361,7044,5114,426,5048,9,2223,93,33777,4,7,benign
